r,t,f,y,UseByTechnologyAnnual
RE1,DEMRESCKNELC,ELC003,2052,53.3401
RE1,DEMRESCKNELC,ELC003,2053,52.8462
RE1,DEMRESCKNELC,ELC003,2054,52.3569
RE1,DEMRESCKNELC,ELC003,2055,51.8723
RE1,DEMRESCKNELC,ELC003,2056,51.3921
RE1,DEMRESCKNELC,ELC003,2057,50.9165
RE1,DEMRESCKNELC,ELC003,2058,50.4455
RE1,DEMRESCKNELC,ELC003,2059,49.9789
RE1,DEMRESCKNELC,ELC003,2060,49.5168
RE1,DEMRESCKNELC,ELC003,2061,49.0404
RE1,DEMRESCKNELC,ELC003,2062,48.5688
RE1,DEMRESCKNELC,ELC003,2063,48.102
RE1,DEMRESCKNELC,ELC003,2064,47.6399
RE1,DEMRESCKNELC,ELC003,2065,47.1825
RE1,DEMRESCKNELC,ELC003,2066,46.7299
RE1,DEMRESCKNELC,ELC003,2067,46.2819
RE1,DEMRESCKNELC,ELC003,2068,45.8386
RE1,DEMRESCKNELC,ELC003,2069,45.3999
RE1,DEMRESCKNELC,ELC003,2070,44.9658
RE1,DEMRESCKNOIL,LFO,2015,0.0
RE1,DEMRESCKNOIL,LFO,2017,0.0
RE1,DEMRESCKNOIL,LFO,2022,1.6182
RE1,DEMRESCKNOIL,LFO,2023,7.5094
RE1,DEMRESCKNOIL,LFO,2024,15.833
RE1,DEMRESCKNOIL,LFO,2025,18.9859
RE1,DEMRESCKNOIL,LFO,2026,24.4296
RE1,DEMRESCKNOIL,LFO,2027,31.3352
RE1,DEMRESCKNOIL,LFO,2028,34.979
RE1,DEMRESCKNOIL,LFO,2029,23.5921
RE1,DEMRESCKNOIL,LFO,2030,11.3443
RE1,DEMRESCKNOIL,LFO,2031,19.9455
RE1,DEMRESCKNOIL,LFO,2032,28.936
RE1,DEMRESCKNOIL,LFO,2033,37.4399
RE1,DEMRESCKNOIL,LFO,2034,49.3705
RE1,DEMRESCKNOIL,LFO,2035,58.7052
RE1,DEMRESCKNOIL,LFO,2036,65.5607
RE1,DEMRESCKNOIL,LFO,2037,83.0391
RE1,DEMRESCKNOIL,LFO,2038,95.7937
RE1,DEMRESCKNOIL,LFO,2039,101.1752
RE1,DEMRESCKNOIL,LFO,2040,101.1054
RE1,DEMRESCKNOIL,LFO,2041,100.6138
RE1,DEMRESCKNOIL,LFO,2042,100.1121
RE1,DEMRESCKNOIL,LFO,2043,99.6019
RE1,DEMRESCKNOIL,LFO,2044,99.0845
RE1,DEMRESCKNOIL,LFO,2045,91.8045
RE1,DEMRESCKNOIL,LFO,2046,71.6481
RE1,DEMRESCKNOIL,LFO,2047,40.158
RE1,DEMRESCKNOIL,LFO,2048,7.06
RE1,DEMRESHEBIO,BIO,2015,2.2477
