r,l,t,f,y,ProductionByTechnology
RE1,S103,PWRHYD003,ELC001,2040,0.2845
RE1,S103,PWRWND001,COM027,2040,1.5513
RE1,S103,PWRSOL001S,COM027,2040,0.5394
RE1,S103,PWRTRN,ELC002,2040,12.527
RE1,S103,PWRDIST,ELC003,2040,11.8812
RE1,S103,PWRSOL002,ELC003,2040,0.3606
RE1,S103,PWRHYD004,ELC003,2040,0.0316
RE1,S103,DEMTRAEVC,ELCEV,2040,4.8077
RE1,S103,DEMTRAMCYELC,TRAMCY,2040,4.3313
RE1,S103,DEMTRACARGSL,TRACAR,2040,4.2888
RE1,S103,DEMTRABUSGSL,TRABUS,2040,4.549
RE1,S103,DEMINDELC,INDELC,2040,6.9369
RE1,S103,DEMINDHECOA,INDHEH,2040,2.061
RE1,S103,DEMINDHEBIO,INDHEL,2040,1.8757
RE1,S103,DEMRESCKNBIO,RESCKN,2040,6.9517
RE1,S103,DEMRESHEBIO,RESHEL,2040,2.9793
RE1,S103,DEMCOMHEBIO,COMHEL,2040,0.0411
RE1,S103,TEC087,ELC001,2040,7.0926
RE1,S104,MINBIO,BIO,2040,55.5908
RE1,S104,IMPCOA,COA,2040,2.5444
RE1,S104,IMPLFO,LFO,2040,39.6403
RE1,S104,MINNGS,NGS,2040,1.2316
RE1,S104,MINSOL,SOL,2040,5.9396
RE1,S104,MINWND,WND,2040,1.2849
RE1,S104,MINHYD,HYD,2040,1.8964
RE1,S104,PWRBIO001,COM027,2040,3.8595
RE1,S104,PWRNGS001,ELC001,2040,0.5921
RE1,S104,PWRSOL001,COM027,2040,3.7758
RE1,S104,PWRHYD001,COM027,2040,1.1424
